type,lat_dms,lat_d,lat_m,lat_s,lat_dd,lat_dd_b,long_dms,long_d,long_m,long_s,long_dd,long_dd_b,label,location,notes,live,line,order
Summer,44 44.176,44,44,176,44.78222222,44.78222222,W124 11.508,124,11,508,-123.6755556,-123.6755556,N4,"Otter Rock sm turn, inshore line",,11/1/19,s_7_,3
Summer,44 40.273,44,40,273,44.7425,44.7425,W124 13.595,124,13,595,-123.6180556,-123.6180556,N6,S point of Tillamook to YB inshore line ,,11/1/19,s_7_,4
Summer,45 31.25,45,31,25,45.52361111,45.52361111,W124 05.20,124,5,20,-123.9111111,-123.9111111,4 14 ,N point of Tillamook to YB offshore line,,11/1/19,s_8_,1
Summer,45 03.60,45,3,60,45.06666667,45.06666667,W124 07.40,124,7,40,-123.8722222,-123.8722222,4 17,"Cascade Hd turn point, offshore line",,11/1/19,s_8_,2
Summer,44 44.48,44,44,48,44.74666667,44.74666667,W124 14.191,124,14,191,-123.7136111,-123.7136111,N3,"Otter rock sm turn, offshore line",,11/1/19,s_8_,3
Summer,44 41.466,44,41,466,44.81277778,44.81277778,W124 15.922,124,15,922,-123.4938889,-123.4938889,N5,S point of Tillamook to YB offshore line,,11/1/19,s_8_,4
Summer,44 38.226,44,38,226,44.69611111,44.69611111,W124 14.377,124,14,377,-123.6619444,-123.6619444,N8,"N point of inshore line, YB triangle",,11/1/19,s_9_,1
Summer,44 30.908,44,30,908,44.75222222,44.75222222,W124 15.262,124,15,262,-123.6772222,-123.6772222,N14,"S point of inshore line, YB triangle",,11/1/19,s_9_,2
Summer,44 39.474,44,39,474,44.78166667,44.78166667,W124 16.809,124,16,809,-123.5086111,-123.5086111,N7,"N point of offshore line, YB triangle",,11/1/19,s_10_,1
Summer,44 37.643,44,37,643,44.79527778,44.79527778,W124 17.243,124,17,243,-123.6491667,-123.6491667,N9,"sm turn on offshore line, YB triangle",,11/1/19,s_10_,2
Summer,44 28.286,44,28,286,44.54611111,44.54611111,W124 18.367,124,18,367,-123.5980556,-123.5980556,N15,"S point of offshore line, YB triangle",,11/1/19,s_10_,3
Summer,44 27.776,44,27,776,44.66555556,44.66555556,W124 15.322,124,15,322,-123.6605556,-123.6605556,N16, N point of YB to Siuslaw inshore line,,11/1/19,s_11_,1
Summer,44 25.826,44,25,826,44.64611111,44.64611111,W124 15.255,124,15,255,-123.6791667,-123.6791667,N19,sm turn on YB to Siuslaw inshore line,,11/1/19,s_11_,2
Summer,44 07.15,44,7,15,44.12083333,44.12083333,W124 17.50,124,17,50,-123.7027778,-123.7027778,5 13,corner to Siuslaw N entrance channel,,11/1/19,s_11_,3
Summer,44 01.75,44,1,75,44.0375,44.0375,W124 10.35,124,10,35,-123.8236111,-123.8236111,5 17,S point at Siuslaw N channel entrance,,11/1/19,s_11_,4
Summer,44 04.50,44,4,50,44.08055556,44.08055556,W124 17.90,124,17,90,-123.6916667,-123.6916667,5 14,Siuslaw triangle N point,,11/1/19,s_12_,1
Summer,43 57.65,43,57,65,43.96805556,43.96805556,W124 18.50,124,18,50,-123.6861111,-123.6861111,5 15,Siuslaw triangle S point,,11/1/19,s_12_,2
Summer,44 01.10,44,1,10,44.01944444,44.01944444,W124 13.250,124,13,250,-123.7138889,-123.7138889,5 16,Siuslaw triangle E point,,11/1/19,s_12_,3
Summer,44 04.50,44,4,50,44.08055556,44.08055556,W124 17.90,124,17,90,-123.6916667,-123.6916667,5 14,Siuslaw triangle N point,,11/1/19,s_12_,4
Summer,43 43.85,43,43,85,43.74027778,43.74027778,W124 20.15,124,20,15,-123.6625,-123.6625,6 2,Umpqua triangle N pt,,11/1/19,s_13_,1
Summer,43 38.80,43,38,80,43.65555556,43.65555556,W124 22.75,124,22,75,-123.6125,-123.6125,6 3,Umpqua triangle S pt,,11/1/19,s_13_,2
Summer,43 40.80,43,40,80,43.68888889,43.68888889,W124 17.70,124,17,70,-123.6972222,-123.6972222,6 4,Umpqua trinangle E pt,,11/1/19,s_13_,3
Summer,43 43.85,43,43,85,43.74027778,43.74027778,W124 20.15,124,20,15,-123.6625,-123.6625,6 2,Umpqua triangle N pt,,11/1/19,s_13_,4
Summer,44 26.00,44,26,0,44.43333333,44.43333333,W124 18.15,124,18,15,-123.6958333,-123.6958333,N18,N point of YB to CB offshore line,,11/1/19,s_14_,1
Summer,44 24.046,44,24,46,44.41277778,44.41277778,W124 18.15,124,18,15,-123.6958333,-123.6958333,N21,sm turn on YB to CB offshore line,,11/1/19,s_14_,2
Summer,43 43.70,43,43,70,43.73611111,43.73611111,W124 23.00,124,23,0,-123.6166667,-123.6166667,6 10,Turn at Umpqua ,,11/1/19,s_14_,3
Summer,43 18.60,43,18,60,43.31666667,43.31666667,W124 35.674,124,35,674,-123.2294444,-123.2294444,CCM ,"Color Change Mark on offshore line (summer N, year-round S",,11/1/19,s_14_,4
Summer,44 00.50,44,0,50,44.01388889,44.01388889,W124 10.15,124,10,15,-123.8291667,-123.8291667,5 18,Inshore point of Inshore line Siuslaw to Umpqua Ent.,,11/1/19,s_15_,1
Summer,43 54.85,43,54,85,43.92361111,43.92361111,W124 19.00,124,19,0,-123.6833333,-123.6833333,5 19,Corner inshore line Siuslaw to Umpqua,,11/1/19,s_15_,2
Summer,43 46.20,43,46,20,43.77222222,43.77222222,W124 20.00,124,20,0,-123.6666667,-123.6666667,6 1,Corner inshore line Siuslaw going into Umpqua,,11/1/19,s_15_,3
Summer,43 40.40,43,40,40,43.67777778,43.67777778,W124 13.90,124,13,90,-123.7583333,-123.7583333,6 5,"S point of Inshore line, Siuslaw to Umpqua, N side of Umpqua entrance",,11/1/19,s_15_,4
Summer,43 38.10,43,38,10,43.63611111,43.63611111,W124 18.90,124,18,90,-123.675,-123.675,6 8,NE point of inshore  Summer lane  Ump to CB(outside of year-round Umpqua to CB),,11/1/19,s_16_,1
Summer,43 36.40,43,36,40,43.61111111,43.61111111,W124 23.90,124,23,90,-123.5916667,-123.5916667,6 9,"Corner, inshore summer lane Ump to CB",,11/1/19,s_16_,2
Summer,43 26.25,43,26,25,43.44027778,43.44027778,W124 28.90,124,28,90,-123.5083333,-123.5083333,6 11,"Corner, inshore summer lane Ump to CB, going into CB N entrance channel",,11/1/19,s_16_,3
Summer,43 24.50,43,24,50,43.41388889,43.41388889,W124 26.25,124,26,25,-123.5597222,-123.5597222,6 12,SE point of Summer lane Ump to CB,,11/1/19,s_16_,4
Summer,43 24.00,43,24,0,43.4,43.4,W124 30.00,124,30,0,-123.5,-123.5,6 17,N point of CB triangle,,11/1/19,s_17_,1
Summer,43 22.10,43,22,10,43.36944444,43.36944444,W124 26.90,124,26,90,-123.5416667,-123.5416667,6 16,Inshore point of CB triangle,,11/1/19,s_17_,2
Summer,43 20.75,43,20,75,43.35416667,43.35416667,W124 31.85,124,31,85,-123.4597222,-123.4597222,6 18,S point of CB triangle,,11/1/19,s_17_,3
Summer,43 24.00,43,24,0,43.4,43.4,W124 30.00,124,30,0,-123.5,-123.5,6 17 (2),N point of CB triangle,,11/1/19,s_17_,4
Summer,43 21.25,43,21,25,43.35694444,43.35694444,W124 24.00,124,24,0,-123.6,-123.6,6 15,Inshore end of S CB entrance channel,,11/1/19,s_18_,1
Summer,43 18.60,43,18,60,43.31666667,43.31666667,W124 32.85,124,32,85,-123.4430556,-123.4430556,6 19,Offshore end of S CB entrance channel,,11/1/19,s_18_,2
