type,lat_dms,lat_d,lat_m,lat_dd,long_dms,long_d,long_m,long_dd,label,location,notes,live,line,order,line_order_comb
Summer,43 38.80,43, 38.80,43.64666667,W124 22.75,124, 22.75,-124.3791667,6 3,Umpqua triangle S pt,,11/1/2019,s_13_,2,s_13_ 2
Summer,43 40.80,43, 40.80,43.68,W124 17.70,124, 17.70,-124.295,6 4,Umpqua trinangle E pt,,11/1/2019,s_13_,3,s_13_ 3
Summer,43 43.85,43, 43.85,43.73083333,W124 20.15,124, 20.15,-124.3358333,6 2,Umpqua triangle N pt,,11/1/2019,s_13_,4,s_13_ 4
Summer,44 26.00,44, 26.00,44.43333333,W124 18.15,124, 18.15,-124.3025,N18,N point of YB to CB offshore line,,11/1/2019,s_14_,1,s_14_ 1
Summer,44 24.046,44,24.046,44.40076667,W124 18.15,124, 18.15,-124.3025,N21,sm turn on YB to CB offshore line,,11/1/2019,s_14_,2,s_14_ 2
Summer,43 43.70,43, 43.70,43.72833333,W124 23.00,124, 23.00,-124.3833333,6 10,Turn at Umpqua ,,11/1/2019,s_14_,3,s_14_ 3
Summer,43 18.60,43, 18.60,43.31,W124 35.674,124,35.674,-124.5945667,CCM ,"Color Change Mark on offshore line (summer N, year-round S",,11/1/2019,s_14_,4,s_14_ 4
Summer,44 00.50,44, 00.50,44.00833333,W124 10.15,124, 10.15,-124.1691667,5 18,Inshore point of Inshore line Siuslaw to Umpqua Ent.,,11/1/2019,s_15_,1,s_15_ 1
Summer,43 54.85,43, 54.85,43.91416667,W124 19.00,124, 19.00,-124.3166667,5 19,Corner inshore line Siuslaw to Umpqua,,11/1/2019,s_15_,2,s_15_ 2
Summer,43 46.20,43, 46.20,43.77,W124 20.00,124, 20.00,-124.3333333,6 1,Corner inshore line Siuslaw going into Umpqua,,11/1/2019,s_15_,3,s_15_ 3
Summer,43 40.40,43, 40.40,43.67333333,W124 13.90,124, 13.90,-124.2316667,6 5,"S point of Inshore line, Siuslaw to Umpqua, N side of Umpqua entrance",,11/1/2019,s_15_,4,s_15_ 4
Summer,43 38.10,43, 38.10,43.635,W124 18.90,124, 18.90,-124.315,6 8,NE point of inshore  Summer lane  Ump to CB(outside of year-round Umpqua to CB),,11/1/2019,s_16_,1,s_16_ 1
Summer,43 36.40,43, 36.40,43.60666667,W124 23.90,124, 23.90,-124.3983333,6 9,"Corner, inshore summer lane Ump to CB",,11/1/2019,s_16_,2,s_16_ 2
Summer,43 26.25,43, 26.25,43.4375,W124 28.90,124, 28.90,-124.4816667,6 11,"Corner, inshore summer lane Ump to CB, going into CB N entrance channel",,11/1/2019,s_16_,3,s_16_ 3
Summer,43 24.50,43, 24.50,43.40833333,W124 26.25,124, 26.25,-124.4375,6 12,SE point of Summer lane Ump to CB,,11/1/2019,s_16_,4,s_16_ 4
Summer,43 24.00,43, 24.00,43.4,W124 30.00,124, 30.00,-124.5,6 17,N point of CB triangle,,11/1/2019,s_17_,1,s_17_ 1
Summer,43 22.10,43, 22.10,43.36833333,W124 26.90,124, 26.90,-124.4483333,6 16,Inshore point of CB triangle,,11/1/2019,s_17_,2,s_17_ 2
Summer,43 20.75,43, 20.75,43.34583333,W124 31.85,124, 31.85,-124.5308333,6 18,S point of CB triangle,,11/1/2019,s_17_,3,s_17_ 3
Summer,43 24.00,43, 24.00,43.4,W124 30.00,124, 30.00,-124.5,6 17 (2),N point of CB triangle,,11/1/2019,s_17_,4,s_17_ 4
Summer,43 21.25,43, 21.25,43.35416667,W124 24.00,124, 24.00,-124.4,6 15,Inshore end of S CB entrance channel,,11/1/2019,s_18_,1,s_18_ 1
Summer,43 18.60,43, 18.60,43.31,W124 32.85,124, 32.85,-124.5475,6 19,Offshore end of S CB entrance channel,,11/1/2019,s_18_,2,s_18_ 2
